pointId	source	point	listId	capture	playerAction	needsTwoMachines	needsScreenshot	needsDataBlock	mergeRule
player.equipment-entity-resolution	dsh\nl-player.out.md#必须进游戏验证的点	武器/背负物品经 ResolveEntity(object) 是否解析成 gtfo.equipment 实体	player-life	state:forge.*;state:weapons.*	手持武器与背负物品各读一次实体解析	no	no	no	
player.checkpoint-epoch-continues	dsh\nl-player.out.md#必须进游戏验证的点	检查点重载后 world epoch 递增、事实继续发布	player-life	trace:level/CheckpointManager.ReloadCheckpoint;state:session.*	存档点重载前后各读一次 epoch	no	no	no	
door.weak-door-damage-attacker	dsh\nl-doorterm2.out.md#已知遗留问题	LG_Door_Sync.OnDoorGotDamage 是否总带非空 SNet_Player（环境伤害、敌人伤害），attacker 口是否成立	door-behaviour	trace:door-terminal/LevelGeneration.LG_WeakDoor.OnSyncDoorGotDamage;state:doors.*	用玩家伤害、环境伤害、敌人伤害各打一次弱门	no	no	no	
door.weak-door-course-node	dsh\nl-doorterm2.out.md#已知遗留问题	弱门是否总挂在带 course node 的 gate 上（实体寻址的前提）	door-behaviour	trace:door-terminal/LevelGeneration.LG_WeakDoor;state:doors.*;state:zones.*.courseNodes	读一关所有弱门的 zone 与 course node	no	no	yes	
glue.host-random-sync	dsh\nl-glue.out.md#7. 交付物	主机随机值确实随执行同步到客户端（不各自重算）；random_branch 落地后分支在所有客户端一致	level-progression	state:forge.*;net:SNetwork.SNet_Packet	跑一条带随机分支的触发器，两机比对结果	yes	no	no	
glue.text-line-render	dsh\nl-glue.out.md#7. 交付物	终端/HUD 文本行在运行时文本预算与本地化下的实际渲染	terminal	trace:door-terminal/LevelGeneration.LG_ComputerTerminal.AddLine;state:gui.tmpTexts	发一条终端文本行并截图	no	yes	no	
glue.alive-and-downed-observation	dsh\nl-glue.out.md#7. 交付物	alive/player_downed 经原生观察器在真局中的取值	player-life	trace:player/Player.PlayerAgent;state:players.*.alive;state:players.*.downed	倒地、救起、死亡各读一次	no	no	no	
snapshot.inactive-object-coverage	ForgeDevelopment\probes\points.tsv 裁定 105.4	关卡层级遍历是否覆盖被禁用的门/终端/物件；敌人/标记/HUD 文本的 active-only 检索漏掉了什么；每个对象行都带 active 字段	snapshot	state:snapshot.*	在被禁用物件所在房间按 F7 并读回带 active 的行	no	no	no	
snapshot.dimension-warp-cost	ForgeDevelopment\probes\points.tsv 裁定 105.6	维度切换触发快照（DimensionWarped）在主线程上的开销与 500 ms 合并窗口的效果	snapshot	trace:level/LevelGeneration.Dimension.NotifyWarpableObjects;state:snapshot.*	连续换维度并读快照合并计数与帧开销	no	no	no	
objective.extra-time-semantics	dsh\integ-level.md 裁定 124.2	pWardenObjectiveState.extraTime 在线上到底装什么：剩余秒数、已给秒数，还是目标机器时钟上的截止点；HUD 倒计时与它的关系。读清楚之前 v-obj 行不带倒计时端口	level-progression	trace:level/WardenObjectiveManager.GetExtraTime;trace:level/WardenObjectiveManager.SetExtraTime	打一关带倒计时的目标（Survival / 限时终端序列），加时与耗时时记录这两个引擎入口的实参与返回值	no	no	yes	
weapon.charge-observer-machine	ForgeWeapon\Native\WeaponNativeHooks.cs#235-270 + dump.cs 615468/617482/617491	客机蓄力在主机是否可观察：MWS_ChargeUp 由 MeleeWeaponFirstPerson 构造（dump.cs 615468，第一人称状态机），远程蓄力在 BulletWeaponArchetype 上有独立的 SyncedUpdate（617491），现在只钩了 Update	weapon-fire	trace:weapon/Gear.MeleeWeaponFirstPerson;trace:weapon/Gear.BulletWeapon.SetupArchetype;state:weapons.*.currentState	主机与客机各蓄力一次（近战与蓄力枪各一遍），在主机看 charge_state 事实	yes	no	no	与 weapon.fire-replay-consistency 合并
weapon.aim-observer-machine	dump.cs 541204/561672/561829 + ForgeWeapon\Native\WeaponNativeHooks.cs#294	客机瞄准姿态在主机是否可观察：FirstPersonItemHolder 只由 PlayerInventoryLocal 持有（dump.cs 541204），其余玩家在主机上是 PlayerInventorySynced + BulletWeaponSynced	weapon-fire	manual:主机与客机各开镜，比对 FirstPersonItemHolder 是否存在	客机开镜并开枪，主机看 aim_state 事实	yes	no	no	与 weapon.charge-observer-machine 合并
weapon.burst-archetype-host	ForgeWeapon\Native\AttackInstanceHooks.cs + dump.cs 617306/617336/617464-617476	客机开火时主机是否跑 BWA_Auto/BWA_Burst 的 OnStartFiring/OnStopFiring/OnFireShotEmptyClip，即 burst_started/burst_ended/dry_fire 的观察点是否落在主机	weapon-fire	trace:weapon/Gear.BulletWeapon.Fire;trace:weapon/PlayerInventorySynced.GetSync;state:weapons.*.currentState	客机连发与空仓扣扳机，主机看 burst_* 与 dry_fire 事实	yes	no	no	与 weapon.fire-replay-consistency、weapon.client-shot-host-replay 合并
weapon.reload-remote-visibility	dump.cs 541301/658004/658045/658060 + ForgeWeapon\Native\ReloadInventoryHooks.cs	客机换弹与弹药变化在主机是否可观察：远端玩家的 PlayerInventorySynced 与 PlayerAmmoStorage 的 SetClipAmmoInSlot/SetStorageData 是否在主机执行	weapon-reload	trace:weapon/PlayerInventorySynced;trace:weapon/PlayerInventoryLocal;net:SNetwork.SNet_Packet	客机换弹一次并捡弹药，主机看 reload_* 与 refilled/stack_changed 事实	yes	no	no	与 weapon.reload-sync-status 合并
weapon.backstab-bonus-paths	dump.cs 544545/544554/544563/544323（Dam_EnemyDamageLimb / Dam_EnemyDamageBase）	哪些伤害路径真的调用 ApplyDamageFromBehindBonus（子弹、近战、哨戒炮），返回值是否为加成后的伤害（实际倍率=返回/dam），以及宿主钩子能否同时拿到 pos/dir/backstabberMulti	enemy-damage	trace:damage/Dam_EnemyDamageBase.MeleeDamage;trace:damage/Dam_EnemyDamageBase.ReceiveBulletDamage;trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage	主机从敌人正后方分别用子弹、近战与哨戒炮打同一部位，记录三者的入参与返回值	no	no	no	与 enemy.damage-source-path 合并
weapon.projectile-targeting-null	dump.cs 586626/586637/586704	ProjectileManager.WantToFireTargeting 的 target 传 null 是否合法（无目标档案如 not_targeting_small_fast 是否有别的入口）；广播包 pFireTargeting 是否携带 target 引用	weapon-deployable	manual:主机调用 projectile_launch（target 留空与指定敌人各一次），客机确认看到抛射体	主机与客机各发一次抛射体并比对可见性	yes	no	no	与 weapon.fire-replay-consistency 合并
weapon.not-targeting-small-pellet	dump.cs 586589/586607	ProjectileType.NotTargetingSmallPellet（14）能否作为独立弹丸单独发射，还是只能作为命中后生成的弹体；有证据才加入 profile	weapon-deployable	manual:主机用 14 号档案发一次并观察飞行与命中	用 NotTargetingSmallPellet 发射一次并观察是否飞	no	no	no	与 weapon.projectile-targeting-null 合并
